Start,End,Size;
0x2F4F0,0x2F516,0x26,
0x2F520,0x2F69A,0x17A,
0x2F6A0,0x2F776,0xD6,
0x2F780,0x2F807,0x87,
0x2F810,0x2F92F,0x11F,
0x2F930,0x2FA28,0xF8,
0x2FA30,0x2FA3C,0xC,
0x2FA60,0x2FA8F,0x2F,
0x2FA90,0x2FAE3,0x53,
0x2FAF0,0x2FB1A,0x2A,
0x2FBE0,0x2FC4D,0x6D,
0x2FC50,0x2FDB4,0x164,
0x2FDC0,0x2FE23,0x63,
0x2FE70,0x2FEFA,0x8A,
0x300C0,0x3018E,0xCE,
0x30190,0x3025E,0xCE,
0x30260,0x3035C,0xFC,
0x305E0,0x306ED,0x10D,
0x306F0,0x30833,0x143,
0x30840,0x30923,0xE3,
0x30A00,0x30A1C,0x1C,
0x30A58,0x30A89,0x31,
0x30A90,0x30AB0,0x20,
0x30AB0,0x30AFB,0x4B,
0x30B30,0x30C69,0x139,
0x30C70,0x30CED,0x7D,
0x30EA0,0x30FDA,0x13A,
0x31090,0x31153,0xC3,
0x311C0,0x312C9,0x109,
0x313B0,0x31493,0xE3,
0x31660,0x3186D,0x20D,
0x31870,0x31A71,0x201,
0x31A80,0x31B18,0x98,
0x31B20,0x31C29,0x109,
0x31C30,0x31CFA,0xCA,
0x31FE0,0x3219D,0x1BD,
0x321A0,0x3237F,0x1DF,
0x32510,0x32808,0x2F8,
0x32810,0x32843,0x33,
0x32A40,0x32B50,0x110,
0x32FB0,0x32FDB,0x2B,
0x32FE0,0x3306E,0x8E,
0x33830,0x33850,0x20,
0x33880,0x338A0,0x20,
0x338A0,0x33904,0x64,
0x33910,0x33930,0x20,
0x33930,0x33950,0x20,
0x33950,0x33970,0x20,
0x33970,0x33989,0x19,
0x33990,0x339A9,0x19,
0x339F0,0x33A10,0x20,
0x33AC0,0x33AE0,0x20,
0x33AE0,0x33B00,0x20,
0x33B50,0x33B7B,0x2B,
0x33BD0,0x33BE9,0x19,
0x33C80,0x33C99,0x19,
0x33D00,0x33D19,0x19,
0x33EC0,0x33ED9,0x19,
0x33EE0,0x33F4D,0x6D,
0x33F50,0x33F7D,0x2D,
0x34050,0x3407B,0x2B,
0x340E0,0x34106,0x26,
0x341A0,0x341C0,0x20,
0x341F0,0x34262,0x72,
0x34280,0x34323,0xA3,
0x34500,0x345A7,0xA7,
0x345B0,0x345D0,0x20,
0x34600,0x34658,0x58,
0x34660,0x34679,0x19,
0x34760,0x34819,0xB9,
0x348F0,0x349AA,0xBA,
0x34A10,0x34A8B,0x7B,
0x34A90,0x34B05,0x75,
0x34B10,0x34BB9,0xA9,
0x34BC0,0x34C20,0x60,
0x34C50,0x34CDC,0x8C,
0x34E70,0x34ECF,0x5F,
0x34EF0,0x35078,0x188,
0x35320,0x35340,0x20,
0x35340,0x35360,0x20,
0x35360,0x35380,0x20,
0x35380,0x353A0,0x20,
0x356B0,0x35724,0x74,
0x357B0,0x357E1,0x31,
0x35CF0,0x35D09,0x19,
0x35D40,0x35D59,0x19,
0x360D0,0x360E9,0x19,
0x360F0,0x36109,0x19,
0x36110,0x36129,0x19,
0x36130,0x36149,0x19,
0x36150,0x36169,0x19,
0x361A0,0x361B9,0x19,
0x361C0,0x361D9,0x19,
0x361E0,0x361F9,0x19,
0x36230,0x36249,0x19,
0x36280,0x36299,0x19,
0x362A0,0x362C0,0x20,
0x362F0,0x36309,0x19,
0x36320,0x36339,0x19,
0x36340,0x36359,0x19,
0x36360,0x36379,0x19,
0x36380,0x36399,0x19,
0x363A0,0x363B9,0x19,
0x363F0,0x36409,0x19,
0x36410,0x36429,0x19,
0x36430,0x36449,0x19,
0x36480,0x364A0,0x20,
0x364A0,0x364B9,0x19,
0x364C0,0x364D9,0x19,
0x36570,0x36589,0x19,
0x365C0,0x365D9,0x19,
0x365E0,0x365F9,0x19,
0x36630,0x36649,0x19,
0x36650,0x36669,0x19,
0x366A0,0x366B9,0x19,
0x366E0,0x366F9,0x19,
0x367A0,0x367B9,0x19,
0x367F0,0x36809,0x19,
0x36840,0x36859,0x19,
