Start,End,Size;
0x2FA3C,0x2FA60,0x24,
0x2FB1A,0x2FBC2,0xA8,
0x2FBC2,0x2FBD3,0x11,
0x2FE23,0x2FE70,0x4D,
0x2FEFA,0x2FEFF,0x5,
0x2FEFF,0x2FF15,0x16,
0x3035C,0x30364,0x8,
0x30364,0x30554,0x1F0,
0x30554,0x305B2,0x5E,
0x305B2,0x305D2,0x20,
0x30923,0x309CD,0xAA,
0x309CD,0x309F5,0x28,
0x30A1C,0x30A58,0x3C,
0x30AFB,0x30B21,0x26,
0x30B21,0x30B2E,0xD,
0x30CED,0x30DFC,0x10F,
0x30DFC,0x30E42,0x46,
0x30E42,0x30E4C,0xA,
0x30E4C,0x30E5A,0xE,
0x30E5A,0x30E71,0x17,
0x30E71,0x30E96,0x25,
0x30FDA,0x3106D,0x93,
0x3106D,0x31083,0x16,
0x31083,0x3108E,0xB,
0x31153,0x311AE,0x5B,
0x311AE,0x311B9,0xB,
0x312C9,0x31399,0xD0,
0x31399,0x313AD,0x14,
0x31493,0x3163E,0x1AB,
0x3163E,0x3165E,0x20,
0x31CFA,0x31DDA,0xE0,
0x31DDA,0x31DED,0x13,
0x31DED,0x31F93,0x1A6,
0x31F93,0x31F9B,0x8,
0x31F9B,0x31FA3,0x8,
0x31FA3,0x31FD3,0x30,
0x3237F,0x324DF,0x160,
0x324DF,0x3250F,0x30,
0x32843,0x3285E,0x1B,
0x3285E,0x3292E,0xD0,
0x3292E,0x329F2,0xC4,
0x329F2,0x32A1D,0x2B,
0x32A1D,0x32A35,0x18,
0x17685F,0x1768E8,0x89,
0x176942,0x176987,0x45,
0x176987,0x176997,0x10,
0x176997,0x176A32,0x9B,
0x176A32,0x176AB1,0x7F,
0x18C7ED,0x18C82F,0x42,
0x18C82F,0x18C830,0x1,
0x18CA86,0x18CB0A,0x84,
0x18CB0A,0x18CB1C,0x12,
0x18CB47,0x18CBB2,0x6B,
0x18CBB2,0x18CBC0,0xE,
0x18CC95,0x18CCBC,0x27,
0x18CCBC,0x18CCF6,0x3A,
0x18CD14,0x18CD62,0x4E,
0x18CD62,0x18CD8B,0x29,
0x18CD8B,0x18CDB1,0x26,
0x18CE01,0x18CE1E,0x1D,
0x18CE1E,0x18CE6E,0x50,
0x18CE6E,0x18CE79,0xB,
0x18CE79,0x18CE9F,0x26,
0x18CE9F,0x18CEC5,0x26,
0x18CEE5,0x18CF0D,0x28,
0x18CF0D,0x18CF97,0x8A,
0x18CF97,0x18CFA7,0x10,
0x18CFA7,0x18CFCD,0x26,
0x18CFCD,0x18CFEF,0x22,
0x18EC74,0x18EC9F,0x2B,
0x18EC9F,0x18ECDA,0x3B,
0x18ECDA,0x18ECE4,0xA,
0x18ECE4,0x18ECF4,0x10,
0x18ED17,0x18EE15,0xFE,
0x18EE15,0x18EF10,0xFB,
0x18FB99,0x18FF81,0x3E8,
0x18FF81,0x18FFEE,0x6D,
0x18FFEE,0x190406,0x418,
0x190406,0x19043C,0x36,
0x1908E6,0x191FC3,0x16DD,
0x191FC3,0x192024,0x61,
0x192024,0x19219C,0x178,
0x1921F1,0x19221B,0x2A,
0x19221B,0x1923E0,0x1C5,
0x1923FE,0x192484,0x86,
0x192484,0x1924FA,0x76,
0x192516,0x192555,0x3F,
0x192555,0x192692,0x13D,
0x192692,0x1926FA,0x68,
0x1926FA,0x19272C,0x32,
0x19272C,0x192752,0x26,
0x192752,0x192758,0x6,
0x192794,0x19279C,0x8,
